6500;2200
6586;2045
6678;1899
6774;1763
6875;1637
6979;1521
7087;1415
7198;1319
7311;1233
7425;1157
7542;1091
7659;1036
7777;990
7896;955
8013;930
8131;915
8246;909
8361;914
8473;928
8582;952
8689;986
8792;1029
8891;1081
8987;1142
9077;1212
9162;1290
9242;1377
9317;1472
9384;1575
9446;1686
9500;1804
9547;1929
9586;2061
9618;2199
9640;2344
9655;2495
9660;2651
9656;2812
9642;2978
9619;3148
9585;3323
9541;3501
9487;3683
9422;3867
9345;4054
9258;4242
9159;4433
9048;4624
8926;4816
8791;5008
8645;5200
8486;5391
8316;5582
8132;5770
7937;5956
7729;6140
7508;6320
7275;6497
7029;6669
6771;6837
6500;7000
6500;7000
6229;6837
5971;6669
5725;6497
5492;6320
5271;6140
5063;5956
4868;5770
4684;5582
4514;5391
4355;5200
4209;5008
4074;4816
3952;4624
3841;4433
3742;4242
3655;4054
3578;3867
3513;3683
3459;3501
3415;3323
3381;3148
3358;2978
3344;2812
3340;2651
3345;2495
3360;2344
3382;2199
3414;2061
3453;1929
3500;1804
3554;1686
3616;1575
3683;1472
3758;1377
3838;1290
3923;1212
4013;1142
4109;1081
4208;1029
4311;986
4418;952
4527;928
4639;914
4754;909
4869;915
4987;930
5104;955
5223;990
5341;1036
5458;1091
5575;1157
5689;1233
5802;1319
5913;1415
6021;1521
6125;1637
6226;1763
6322;1899
6414;2045
6500;2200
